Molybdenum - LE (10^-5 m/m) - Equation Range: 20 to 500 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
269,-12.278754886554704,-11.806495083225677,-11.33423527989665
270,-11.771771332879995,-11.319010896999995,-10.866250461119995
271,-11.264534173253566,-10.831282858897659,-10.398031544541752
272,-10.757051122807779,-10.343318387315172,-9.929585651822565
273,-10.249329808858068,-9.855124816209681,-9.460919823561294
274,-9.741377770903156,-9.366709395099189,-8.992041019295222
275,-9.23320246062498,-8.87807928906248,-8.52295611749998
276,-8.724811241888757,-8.389241578739188,-8.05367191558962
277,-8.216211390742863,-7.9002032603296755,-7.5841951299164885
278,-7.707410095418989,-7.4109712455951815,-7.114532395771374
279,-7.198414456331978,-6.921552361857671,-6.644690267383364
280,-6.689231486079975,-6.431953351999976,-6.174675217919977
281,-6.17986810944429,-5.942180874465663,-5.704493639487036
282,-5.670331163389522,-5.452241503259156,-5.23415184312879
283,-5.1606273970634975,-4.962141727945671,-4.763656058827844
284,-4.650763471797212,-4.471887953651166,-4.293012435505119
285,-4.140745961104969,-3.98148650106247,-3.8222270410199712
286,-3.630581350684249,-3.4909436064271624,-3.3513058621700758
287,-3.1202760384158177,-3.000265421553671,-2.880254804691524
288,-2.6098363343635977,-2.5094580138111517,-2.4090796932587057
289,-2.0992684607748435,-2.018527366129657,-1.9377862714844707
290,-1.5885785520799434,-1.5274793769999455,-1.4663802019199477
291,-1.0777726548926037,-1.0363198604736574,-0.9948670660547111
292,-0.5668567280096841,-0.5450545461631577,-0.5232523643166314
293,-0.05583664241135665,-0.053689079241689086,-0.05154151607202152
294,0.45528181873914464,0.43777097955686983,0.420260140374595
295,0.9664929600949961,0.9293201539374962,0.8921473477799964
296,1.4777911741266636,1.4209530520448688,1.364114929963074
297,1.9891709411207903,1.9126643664622982,1.8361577918038061
298,2.5006268291813827,2.404448874212868,2.308270919244353
299,3.0121534942286505,2.8963014367583177,2.780449379287985
300,3.5237456800000198,3.3882170000000187,3.2526883200000176
,,,
